Folder,Workflow Name,Purpose,Trigger,Status
1. Lead Pipeline (New),1. New Lead,"Checks for an existing-customer tag and stops if found; otherwise creates an opportunity, assigns Renee, tags/welcomes by email, alerts staff by SMS, and escalates to a direct text to Josh if untouched for 30 minutes.",Strategy-Hero Lead Form or Strategy-Contact Us Form submitted,Published
1. Lead Pipeline (New),1.1 New Lead Follow-Up Task Chain,"Checks if the contact is active in Appointment Booked or Sold; if not, loops creating 10-minute follow-up tasks for Renee until it is.",A task assigned to Erica or Renee marked complete,Published
1. Lead Pipeline (New),2. Attempting Contact,"Assigns to Renee, updates/creates the opportunity, emails Main Office/Renee/Kelli, a second email a day later, then tags ""nurture"" to hand off to Drip/Nurture.","Stage change to Attempting Contact, or a failed outgoing call (busy/voicemail/no-answer)",Published
1. Lead Pipeline (New),3. Drip/Nurture,"11-email nurture drip, 30 days apart, skips if already booked, exits early on appointment booked. The account's busiest workflow and the reference pattern for the planned partner nurture sequence.","Contact tagged ""nurture""",Published
1. Lead Pipeline (New),4. Unqualified,"Finds/creates the opportunity, tags ""disqualified,"" ends. Closes out this folder.","Stage change to ""Unqualified"" in Lead Pipeline (NEW)",Published
1. Lead Pipeline (New),5. Spam,"Sets the opportunity to Spam stage / Abandoned status, then an Enable/Disable DND step (direction not confirmed). No notifications.","Contact tagged ""spam,"" or stage change to Spam",Published
1. Lead Pipeline (New),6. Future Appointments,"Assigns Renee, sets the opportunity to Future Appointment / Open status. Notify/exit steps beyond this not confirmed (partial trace).","Stage change to ""Future Appointment""",Published
1. Lead Pipeline (New),7. Customer Reply Response and Escalation,"Creates a follow-up task, then texts Kelli/Main Office/Renee an escalation if still unaddressed 30 minutes later. Steps after the escalation text not confirmed (partial trace).",Customer replies via SMS,Published
1. Lead Pipeline (New),"7.1 Reply Task Completed, Exit",Removes the contact from its workflow and marks it read. Exit companion to workflow 7 above.,A task marked complete by anyone except Renee Isley,Published
2. Sales Pipeline (New),1. Appointment Booked,"Assigns Erica/Justin, updates/creates the opportunity, tags by lead source, sends a confirmation email plus 3 reminders (1 day / 2 hr / 1 hr) with staff alerts. Reminder sequence is duplicated 8 times internally; a ready-to-implement fix is documented in Fix Or Consolidate Overlaps.",Appointment status confirmed,Published
2. Sales Pipeline (New),2. Appointment Completed,"Updates/creates the opportunity, waits 30 minutes, sends a thank-you email. Steps after that not confirmed (partial trace).","Appointment status ""Showed,"" or stage change to Appointment Completed",Published
2. Sales Pipeline (New),3. Proposal Sent,"Notifies Kelli, then a check-then-nudge sequence (3/4/7-day waits, 3 SMS reminders), ending in a human hand-off task after about 2 weeks if still not sold.","Stage change to ""Proposal Sent""",Published
2. Sales Pipeline (New),4. Follow Up,"Sends a follow-up email and SMS, waits 2 days, then notifies Kelli/Renee/Main Office. Steps after that not confirmed (partial trace).","Stage change to ""Follow Up""",Published
2. Sales Pipeline (New),5. Sold,"Sets the opportunity to Sold / Won and tags the contact ""active client."" Steps after that not confirmed (partial trace).","Stage change to ""Sold""",Published
2. Sales Pipeline (New),6. Not sold,"Tags ""not sold,"" waits a day, sends a follow-up email, then enrolls the contact into Drip/Nurture.","Stage change to ""Not Sold""",Published
2. Sales Pipeline (New),7. Not Booked Workflow,"Sends a re-engagement email, notifies the assigned owner to call, creates a follow-up task. Also fed directly by 3 current lead-source workflows regardless of its own trigger.","Stage change to ""Not Booked"" on a pipeline called ""Lead Flow Pipeline"" (a likely mismatch, see Anomalies)",Published
2. Sales Pipeline (New),8. Cancelled Appointment,"Removes the contact from Appointment Booked, a 3-touch SMS rebook sequence over about 3 days, ends in a personal task. Confirmed duplicate of Appointment Cancellation Workflow with a diverged build.","Appointment status ""cancelled""",Published
2. Sales Pipeline (New),9. No Show Recovery,"Same 3-touch SMS rebook pattern as 8. Cancelled Appointment, ends in a task assigned to Renee Isley.","Appointment status ""no-show""",Published
2. Sales Pipeline (New),Appointment Cancellation Workflow,"Removes the contact from Appointment Booked, a cancellation email plus 2 SMS touches, ends by tagging ""nurture."" Confirmed duplicate of 8. Cancelled Appointment with a diverged build.","Appointment status ""cancelled""",Published
2. Sales Pipeline (New),Self-Booked Appointment Confirmation,"Guest-booking branch creates a task, waits 2 hours, sends an internal SMS reminder if still not rebooked. Non-guest branch not confirmed (partial trace).","Appointment status ""confirmed""",Published
3. Lead Sources,After Business Hours,"Sends an SMS if it's currently after business hours, otherwise ends. SMS content and steps after not confirmed (partial trace).","Reply via chat, email, SMS, or call",Published
